pais,continente
Alemania,Europa
Argentina,America
Australia,Oceania
Belgica,Europa
Brasil,America
Canada,America
China,Asia
Espana,Europa
Estados Unidos,America
Francia,Europa
Republica de la India,Asia
Indonesia,Asia
Reino Unido,Europa
Iran,Asia
Italia,Europa
Japon,Asia
Corea del Sur,Asia
Malasia,Asia
Mexico,America
Holanda (Paises Bajos),Europa
Polonia,Europa
Republica Checa,Europa
Republica Eslovaca,Europa
Rumania,Europa
Rusia,Asia
Suecia,Europa
Sudafrica,Africa
Tailandia,Asia
Taiwan,Asia
Turquia,Asia
Ucrania,Europa
